x,y,heading,v,gear,kk
-74.88269226,375.34528,75.54000092,10,1,0.00093
-74.10067739,375.5559421,75.58000183,10,1,0.00093
-73.31866252,375.7555169,75.61000061,10,1,0.00089
-72.45081674,375.9772666,75.62999725,10,1,0.00084
-71.74509601,376.1657536,75.65000153,10,1,0.00079
-70.886787,376.3875032,75.68000031,10,1,0.00074
-70.09523537,376.598165,75.70999908,10,1,0.0007
-69.3990514,376.7755646,75.72000122,10,1,0.00066
-68.54074239,376.997314,75.76999664,10,1,0.00062
-67.83502165,377.1747135,75.80000305,10,1,0.00059
-66.97671265,377.3964628,75.86000061,10,1,0.00055
-66.27099191,377.5849494,75.87000275,10,1,0.0005
-65.41268291,377.8066985,75.88999939,10,1,0.00043
-64.63066804,377.9951855,75.88999939,10,1,0.00036
-63.9249473,378.183672,75.90000153,10,1,0.00029
-63.1524692,378.3721588,75.90000153,10,1,0.00023
-62.37045433,378.5717328,75.91999817,10,1,0.00017
-61.51214532,378.7934816,75.93000031,10,1,0.00014
-60.81596135,378.9708806,75.97000122,10,1,0.00014
-59.96718911,379.1926292,75.98000336,10,1,0.00016
-59.18517424,379.392203,75.98999786,10,1,0.00022
-58.48899027,379.5585147,76,10,1,0.00032
-57.64021803,379.7802631,76.01999664,10,1,0.00044
-56.86773993,379.9798367,76.02999878,10,1,0.00059
-56.17155596,380.1572354,76.05000305,10,1,0.00077
-55.31324696,380.3789837,76.06999969,10,1,0.00096
-54.61706298,380.5563823,76.11000061,10,1,0.00117
-53.75875398,380.7670433,76.12999725,10,1,0.00139
-52.98627588,380.9666165,76.16999817,10,1,0.00164
-52.21379778,381.1551026,76.23000336,10,1,0.00191
-51.44131967,381.3546757,76.29000092,10,1,0.00222
-50.6593048,381.5431617,76.40000153,10,1,0.00258
-49.88682669,381.7316476,76.51999664,10,1,0.003
-49.10481182,381.9201334,76.66999817,10,1,0.00349
-48.33233372,382.1086192,76.83000183,10,1,0.00406
-47.55031885,382.2971049,77.01000214,10,1,0.0047
-46.76830398,382.4855906,77.26000214,10,1,0.0054
-45.98628911,382.662989,77.51999664,10,1,0.00614
-45.213811,382.8403874,77.86000061,10,1,0.0069
-44.43179613,383.0177857,78.25,10,1,0.00765
-43.64978126,383.1840968,78.69000244,10,1,0.00838
-42.94406052,383.3282331,79.11000061,10,1,0.00906
-42.07621475,383.5056316,79.66999817,10,1,0.0097
-41.20836898,383.6719428,80.19000244,10,1,0.01028
-40.50264825,383.7939046,80.73999786,10,1,0.01079
-39.71109661,383.9269539,81.29000092,10,1,0.01124
-38.84325084,384.0710905,81.91000366,10,1,0.01163
-38.12799333,384.181965,82.43000031,10,1,0.01195
-37.3364417,384.2928397,83,10,1,0.01222
-36.46859593,384.4037146,83.63999939,10,1,0.01245
-35.75333842,384.4924146,84.13999939,10,1,0.01266
-34.87595588,384.581115,84.69000244,10,1,0.01288
-34.16069838,384.6587276,85.22000122,10,1,0.01314
-33.35960998,384.7252533,85.79000092,10,1,0.01345
-32.48222744,384.7917792,86.40000153,10,1,0.01383
-31.6906758,384.8472175,87.05999756,10,1,0.01427
-30.9754183,384.8915684,87.73999786,10,1,0.01476
-30.09803576,384.9359197,88.48999786,10,1,0.01525
-29.38277826,384.9691833,89.25,10,1,0.01571
-28.50539572,384.99136,90.08000183,10,1,0.01611
-27.70430731,384.9913622,90.98000336,10,1,0.01641
-26.98904981,384.991364,91.73000336,10,1,0.01659
-26.11166727,384.9691918,92.62999725,10,1,0.01667
-25.31057887,384.9359322,93.40000153,10,1,0.01667
-24.59532136,384.9026724,94.06999969,10,1,0.01661
-23.72747559,384.8361512,94.94000244,10,1,0.01655
-22.94546072,384.780717,95.62999725,10,1,0.0165
-22.14437232,384.7141956,96.5,10,1,0.0165
-21.36235745,384.6365869,97.25,10,1,0.01657
-20.58034258,384.5478909,98.01000214,10,1,0.0167
-19.7983277,384.4481077,98.79000092,10,1,0.01688
-19.0258496,384.3372373,99.5,10,1,0.01711
-18.24383473,384.2263668,100.4100037,10,1,0.01735
-17.46181986,384.0933219,101.2099991,10,1,0.01759
-16.68934176,383.9491897,101.9400024,10,1,0.0178
-15.91686365,383.8050574,102.6900024,10,1,0.01797
-15.15392231,383.6387507,103.5299988,10,1,0.01807
-14.40051774,383.472444,104.2799988,10,1,0.0181
-13.64711317,383.2839628,105.0100021,10,1,0.01806
-12.90324537,383.0954815,105.8199997,10,1,0.01793
-12.08308343,382.8737388,106.7699966,10,1,0.01774
-11.41550976,382.6741701,107.4899979,10,1,0.01749
-10.67164196,382.4524271,108.3300018,10,1,0.0172
-9.861016786,382.1863354,109.0400009,10,1,0.01689
-9.202979882,381.9645923,109.7099991,10,1,0.01658
-8.47818561,381.7206748,110.3600006,10,1,0.01629
-7.753391341,381.4545828,111.0199966,10,1,0.01603
-6.961839704,381.1552293,111.6500015,10,1,0.01582
-6.322876332,380.9113116,112.3000031,10,1,0.01564
-5.626692362,380.6341323,112.9199982,10,1,0.01549
-4.854214259,380.3126042,113.6200027,10,1,0.01538
-4.224787656,380.046512,114.1900024,10,1,0.01529
-3.538140454,379.736071,114.8300018,10,1,0.01522
-2.775199115,379.3923684,115.5400009,10,1,0.01519
-2.155309278,379.1041017,116.0899963,10,1,0.01522
